Name,Position,Appearances,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Headed Clearance,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Errors leading to goal,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals Conceded,Own goals,Last man tackles,Clearances off line
Sofyan Amrabat,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Joseph Anang,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Joachim Andersen,Defender,32,1,,1,0,0,,,,,,0,,0,"1,940",60.63,2,10,10%,4,200,8,0,27,2,42,52%,2,24,187,110,180,150,84,5,87,34,1,,,,,,,,,8,37,2,0,1
Elliot Anderson,Midfielder,22,0,0.00,0,0,0,0,0,11,4,36%,1,1,1,185,8.41,2,9,44%,1,4,0,0,6,1,11,45%,4,6,1,0,29,42,40,10,11,5,0,,,,,,,,,,,,,
André Gomes,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Andreas Pereira,Midfielder,33,4,0.12,0,3,1,1,0,62,23,37%,4,4,6,855,25.91,7,196,34%,1,52,8,0,41,2,18,50%,14,6,8,2,117,75,171,17,9,29,0,,,,,,,,,,,,,
Andrey Santos,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Vincent Angelini,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Ângelo,Forward,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Tino Anjorin,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Adler Nascimento,Forward,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Adrián,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Daniel Adu-Adjei,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Nayef Aguerd,Defender,18,2,,2,0,0,,,,,,0,,0,759,42.17,1,0,0%,0,65,4,0,8,2,27,67%,3,18,78,37,105,71,53,4,32,31,1,,,,,,,,,5,28,0,1,1
Brandon Aguilera,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Naouirou Ahamada,Midfielder,8,0,0.00,0,0,0,0,0,3,0,0%,0,0,0,44,5.50,0,2,0%,0,1,1,0,2,2,3,67%,0,0,0,0,8,4,7,1,0,1,0,,,,,,,,,,,,,
Rayan Aït-Nouri,Defender,21,1,,0,0,1,,,,,,0,,0,474,22.57,1,21,29%,0,7,4,0,15,3,33,61%,2,9,24,11,61,86,67,28,14,17,0,,,,,,,,,2,18,1,0,0
Kristoffer Ajer,Defender,9,0,,0,0,0,,,,,,0,,0,294,32.67,0,6,17%,0,18,0,0,5,0,11,73%,0,7,17,7,36,37,35,3,15,11,0,,,,,,,,,2,14,0,1,0
Manuel Akanji,Defender,29,0,,0,0,0,,,,,,0,,1,"2,021",69.69,0,6,17%,0,67,2,0,24,0,36,69%,5,16,30,14,136,77,77,6,24,34,1,,,,,,,,,6,23,0,0,1
Nathan Aké,Defender,26,1,,1,0,0,,,,,,2,,0,"1,705",65.58,2,15,7%,1,34,2,0,12,1,26,46%,2,20,47,33,96,79,39,3,36,23,0,,,,,,,,,6,15,0,0,0
Victor Akinwale,Forward,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Marc Albrighton,Midfielder,6,1,0.17,0,1,0,0,0,2,1,50%,0,0,0,112,18.67,1,28,21%,1,2,0,0,2,1,4,25%,0,1,4,1,13,9,12,2,1,1,0,,,,,,,,,,,,,
Thiago Alcântara,Midfielder,18,0,0.00,0,0,0,0,0,10,1,10%,0,0,0,"1,085",60.28,1,3,33%,8,93,2,0,18,0,43,56%,7,21,12,7,111,103,77,21,14,24,0,,,,,,,,,,,,,
Carlos Alcaraz,Midfielder,18,4,0.22,0,4,0,0,0,24,10,42%,1,1,2,283,15.72,1,4,0%,2,6,3,0,16,2,10,50%,6,1,11,7,53,47,92,13,7,28,0,,,,,,,,,,,,,
Ryan Alebiosu,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Ajibola Alese,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Alex Telles,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Trent Alexander-Arnold,Defender,37,2,,0,2,0,,,,,,1,,9,"2,309",62.41,25,252,31%,26,194,5,0,22,5,57,70%,15,43,36,20,239,113,106,30,20,13,0,,,,,,,,,7,44,0,0,1
Alisson Becker,Goalkeeper,37,0,,,,,,,,,,,,1,"1,239",33.49,,,,,165,1,0,1,,,,,,,,,,,,,,0,108,1,17,22,9,33,210,193,14,43,0,,
Allan,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Charlie Allen,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Max Alleyne,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Dele Alli,Midfielder,2,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,15,7.50,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,2,2,4,0,1,2,0,,,,,,,,,,,,,
Miguel Almirón,Midfielder,34,11,0.32,0,1,10,0,0,69,21,30%,3,6,2,932,27.41,3,26,19%,3,13,2,0,22,9,46,65%,25,10,13,6,139,119,116,34,6,10,0,,,,,,,,,,,,,
Marcos Alonso,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Julián Álvarez,Forward,31,9,0.29,0,8,1,1,0,47,22,47%,1,4,0,469,15.13,2,26,,,,0,0,21,3,26,,13,2,5,3,,,,,,,,,,,,,,,,,,,,
William Alves,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Steven Alzate,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Daniel Amartey,Defender,20,0,,0,0,0,,,,,,0,,0,"1,107",55.35,1,0,0%,2,30,1,0,7,0,19,42%,0,8,70,46,108,58,41,2,34,26,0,,,,,,,,,5,27,0,2,0
Sam Amo-Ameyaw,Forward,1,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,6,6.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Ethan Ampadu,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Joseph Anang,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Joachim Andersen,Defender,32,1,,1,0,0,,,,,,0,,0,"1,940",60.63,2,10,10%,4,200,8,0,27,2,42,52%,2,24,187,110,180,150,84,5,87,34,1,,,,,,,,,8,37,2,0,1
Joe Anderson,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Florin Andone,Forward,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
André Gomes,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Andreas Pereira,Midfielder,33,4,0.12,0,3,1,1,0,62,23,37%,4,4,6,855,25.91,7,196,34%,1,52,8,0,41,2,18,50%,14,6,8,2,117,75,171,17,9,29,0,,,,,,,,,,,,,
Andrey Santos,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Frank Anguissa,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Tino Anjorin,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jaidon Anthony,Forward,30,2,0.07,1,1,0,0,0,22,12,55%,0,1,1,460,15.33,0,44,,,,2,0,9,5,30,,4,10,15,11,,,,,,,,,,,,,,,,,,,,
Michail Antonio,Forward,33,5,0.15,3,2,0,0,0,39,13,33%,2,7,3,304,9.21,2,35,,,,2,0,28,12,14,,11,5,9,8,,,,,,,,,,,,,,,,,,,,
Antony,Forward,25,4,0.16,0,0,4,0,0,72,24,33%,4,4,2,774,30.96,2,32,,,,5,0,15,2,22,,21,11,2,1,,,,,,,,,,,,,,,,,,,,
Paul Appiah,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Keenan Appiah-Forson,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Billy Arce,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Cameron Archer,Forward,6,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,11,1.83,0,1,,,,0,0,2,1,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Alphonse Areola,Goalkeeper,5,0,,,,,,,,,,,,0,77,15.40,,,,,17,0,0,1,,,,,,,,,,,,,,0,9,0,1,2,1,0,14,30,0,7,0,,
Joe Aribo,Midfielder,21,2,0.10,0,1,1,0,0,14,8,57%,0,1,0,375,17.86,2,8,0%,0,5,2,0,10,0,31,65%,5,10,11,10,76,91,104,17,30,43,0,,,,,,,,,,,,,
Stuart Armstrong,Midfielder,32,2,0.06,0,2,0,0,0,23,7,30%,1,0,1,623,19.47,3,37,27%,3,15,6,0,17,1,32,66%,10,10,9,3,83,80,98,22,6,8,1,,,,,,,,,,,,,
Harry Arter,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Arthur,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Harrison Ashby,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Luca Ashby-Hammond,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Ryan Astley,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Pierre-Emerick Aubameyang,Forward,15,1,0.07,0,1,0,0,0,16,7,44%,0,3,0,108,7.20,0,3,,,,1,0,5,0,1,,3,2,4,1,,,,,,,,,,,,,,,,,,,,
Ludwig Augustinsson,Defender,3,0,,0,0,0,,,,,,0,,0,30,10.00,0,5,0%,0,1,1,0,1,0,1,100%,0,0,1,1,9,8,3,0,4,1,0,,,,,,,,,0,0,0,0,0
Sèrge Aurier,Defender,24,1,,0,1,0,,,,,,0,,0,734,30.58,1,39,21%,1,21,2,0,18,0,64,64%,1,29,65,44,126,145,88,16,46,32,0,,,,,,,,,5,31,0,0,0
Brandon Austin,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Zach Awe,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Taiwo Awoniyi,Forward,27,10,0.37,3,6,1,0,0,35,15,43%,2,8,1,219,8.11,1,3,,,,2,0,24,15,17,,3,4,20,15,,,,,,,,,,,,,,,,,,,,
Yasin Ayari,Midfielder,3,0,0.00,0,0,0,0,0,1,0,0%,0,0,0,22,7.33,0,0,0%,1,2,0,0,0,0,2,100%,0,0,0,0,3,5,5,0,0,1,0,,,,,,,,,,,,,
Jordan Ayew,Forward,38,4,0.11,2,2,0,0,0,32,11,34%,1,0,3,821,21.61,4,43,,,,5,0,48,4,66,,10,15,30,18,,,,,,,,,,,,,,,,,,,,
Luke Ayling,Defender,29,2,,1,0,1,,,,,,0,,1,872,30.07,3,62,21%,0,41,3,0,15,1,66,56%,9,26,47,31,152,161,142,13,47,57,0,,,,,,,,,2,48,0,0,1
Miguel Azeez,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
César Azpilicueta,Defender,25,0,,0,0,0,,,,,,0,,0,897,35.88,4,26,27%,0,12,3,0,27,2,43,58%,5,19,46,22,59,86,70,7,29,19,0,,,,,,,,,3,21,1,1,0
Abdul Baba,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Baba Fernandes,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Finley Back,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Loïc Badé,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Benoît Badiashile,Defender,11,1,,0,0,1,,,,,,0,,0,855,77.73,1,2,0%,1,39,2,0,9,0,14,57%,2,16,33,19,76,56,32,1,35,14,0,,,,,,,,,4,9,0,0,0
Leon Bailey,Midfielder,33,4,0.12,0,0,4,0,0,51,14,27%,4,4,4,441,13.36,8,96,24%,4,19,4,0,29,9,14,43%,19,6,11,7,72,102,198,42,24,46,0,,,,,,,,,,,,,
Eric Bailly,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Stefan Bajcetic,Midfielder,11,1,0.09,0,0,1,0,0,6,3,50%,0,0,0,253,23.00,0,5,20%,0,12,2,0,7,0,9,67%,2,9,4,3,40,34,41,7,9,5,0,,,,,,,,,,,,,
Tiémoué Bakayoko,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Lewis Baker,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
James Balagizi,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ellery Balcombe,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Dom Ballard,Forward,2,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,6,3.00,0,0,,,,0,0,0,0,0,,0,1,0,0,,,,,,,,,,,,,,,,,,,,
Kofi Balmer,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Folarin Balogun,Forward,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Tudor Baluta,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Patrick Bamford,Forward,28,4,0.14,2,1,1,0,0,50,17,34%,0,13,2,326,11.64,1,5,,,,3,0,25,18,9,,14,5,13,7,,,,,,,,,,,,,,,,,,,,
Scott Banks,Forward,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Shandon Baptiste,Midfielder,23,0,0.00,0,0,0,0,0,4,1,25%,0,0,1,279,12.13,2,11,36%,2,13,1,1,11,1,15,60%,2,7,10,5,45,39,38,6,6,7,0,,,,,,,,,,,,,
Ross Barkley,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Harvey Barnes,Midfielder,34,13,0.38,0,10,3,0,0,72,34,47%,0,8,1,727,21.38,5,44,16%,5,9,3,0,38,9,26,54%,18,8,10,4,101,119,216,27,29,58,0,,,,,,,,,,,,,
Louie Barry,Forward,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Ryan Bartley,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Lewis Bate,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Michy Batshuayi,Forward,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Nathan Baxter,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Gavin Bazunu,Goalkeeper,32,0,,,,,,,,,,,,0,"1,028",32.13,,,,,235,0,0,1,,,,,,,,,,,,,,1,69,1,13,31,3,18,144,237,4,56,0,,
Eddie Beach,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Mads Bech,Defender,4,0,,0,0,0,,,,,,0,,0,7,1.75,0,0,0%,0,1,0,0,0,0,0,0%,0,1,1,1,0,1,0,0,1,0,0,,,,,,,,,0,0,0,0,0
Owen Beck,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Jan Bednarek,Defender,23,0,,0,0,0,,,,,,0,,0,954,41.48,0,1,0%,0,55,5,0,16,0,30,80%,4,51,92,44,102,79,38,1,41,16,0,,,,,,,,,3,40,1,0,1
Asmir Begovic,Goalkeeper,1,0,,,,,,,,,,,,0,25,25.00,,,,,5,0,0,0,,,,,,,,,,,,,,0,4,0,2,1,1,0,5,8,1,0,0,,
Armel Bella-Kotchap,Defender,24,0,,0,0,0,,,,,,0,,2,927,38.63,2,4,0%,1,47,4,0,9,0,37,46%,1,44,108,56,145,114,51,4,40,28,0,,,,,,,,,3,39,0,3,1
Héctor Bellerín,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Benjamin Mendy,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Filip Benkovic,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Rhys Bennett,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Saïd Benrahma,Forward,35,6,0.17,0,6,0,4,0,73,27,37%,4,1,3,700,20.00,5,83,,,,0,0,16,7,25,,21,9,11,5,,,,,,,,,,,,,,,,,,,,
Rodrigo Bentancur,Midfielder,18,5,0.28,0,4,1,0,0,15,9,60%,0,1,2,857,47.61,0,16,25%,3,23,8,0,24,0,45,62%,3,20,21,12,128,89,80,21,15,16,0,,,,,,,,,,,,,
Christian Benteke,Forward,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Dan Bentley,Goalkeeper,2,0,,,,,,,,,,,,0,66,33.00,,,,,14,0,0,0,,,,,,,,,,,,,,1,11,0,1,4,0,0,14,23,0,3,0,,
Lucas Bergström,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Steven Bergwijn,Forward,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Di'Shon Bernard,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Bernardo Silva,Midfielder,34,4,0.12,0,0,4,0,0,25,10,40%,0,1,5,"1,418",41.71,6,75,17%,3,59,5,0,31,2,44,52%,10,16,6,2,122,91,128,28,4,13,0,,,,,,,,,,,,,
Ryan Bertrand,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Marcus Bettinelli,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Owen Bevan,Defender,1,0,,0,0,0,,,,,,0,,0,3,3.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,0,1,0,0,0
Giulian Biancone,Defender,2,0,,0,0,0,,,,,,0,,0,18,9.00,0,1,0%,0,1,0,0,0,0,2,50%,0,1,0,0,5,4,0,0,2,0,0,,,,,,,,,0,1,0,0,0
Mads Bidstrup,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Mika Biereth,Forward,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Philip Billing,Midfielder,36,7,0.19,0,3,4,0,0,38,18,47%,1,3,1,"1,008",28.00,5,38,18%,5,26,5,0,30,3,63,57%,10,31,50,38,146,178,146,28,52,35,1,,,,,,,,,,,,,
Nathan Bishop,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Yves Bissouma,Midfielder,23,0,0.00,0,0,0,0,0,6,0,0%,0,0,0,727,31.61,1,2,50%,1,17,6,0,17,1,16,81%,2,12,10,5,68,39,44,7,6,12,0,,,,,,,,,,,,,
Harvey Blair,Forward,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
