Name,Position,Appearances,Clean sheets,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Shots,Shots on target,Shooting accuracy %,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Age,Season,Injury,Date of Injury,Date of return
Axel Tuanzebe,Defender,5,0.0,2.0,100%,0.0,0.0,5.0,4.0,3.0,0.0,15.0,8.0,20.0,0.0,3.0,12.0,0,136,27.2,0.0,1.0,0%,0.0,4.0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2019/20,Hamstring strain,18-Dec-19,5-Mar-20
Sead Kolasinac,Defender,26,3.0,29.0,55%,0.0,1.0,25.0,33.0,26.0,0.0,103.0,88.0,66.0,16.0,28.0,19.0,2,900,34.62,2.0,29.0,21%,0.0,21.0,4,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2019/20,Muscle strain,15-Jan-20,15-Feb-20
Jacob Ramsey,Midfielder,16,0.0,16.0,50%,0.0,4.0,3.0,7.0,2.0,0.0,42.0,41.0,52.0,8.0,5.0,3.0,1,310,19.38,0.0,11.0,18%,3.0,0.0,2,0,7,1,0.0,1.0,0.0,0.0,0.06,0.0,19.0,5.0,26%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2023/24,Hamstring injury,13-Jan-24,29-Jan-24
Eddie Nketiah,Forward,30,0.0,13.0,0,0.0,15.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,250,8.33,0.0,5.0,0,0.0,0.0,3,0,30,4,1.0,3.0,0.0,1.0,0.13,0.0,41.0,14.0,34%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2022/23,Ankle injury,2-Mar-23,13-Apr-23
Dani Ceballos,Midfielder,24,0.0,45.0,51%,0.0,5.0,32.0,11.0,6.0,0.0,153.0,116.0,125.0,27.0,9.0,25.0,2,"1,251",52.13,1.0,70.0,13%,6.0,76.0,1,0,19,0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,23%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2019/20,Torn muscle bundle,7-Nov-19,31-Dec-19
Ben Mee,Defender,16,1.0,26.0,58%,0.0,4.0,13.0,57.0,34.0,1.0,67.0,67.0,54.0,3.0,35.0,32.0,0,605,37.81,0.0,5.0,60%,0.0,36.0,1,1,7,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2023/24,Ankle injury,26-Feb-24,30-Jun-24
Joelinton,Forward,32,0.0,70.0,0,0.0,13.0,48.0,38.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"1,230",38.44,0.0,16.0,0,0.0,0.0,12,0,65,6,2.0,1.0,3.0,4.0,0.19,0.0,51.0,20.0,39%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2022/23,Knock,22-May-23,31-May-23
André Gomes,Midfielder,19,0.0,22.0,68%,0.0,0.0,7.0,6.0,4.0,0.0,122.0,83.0,137.0,25.0,17.0,12.0,1,851,44.79,1.0,12.0,25%,3.0,85.0,6,0,38,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2019/20,bruised ribs,2-Sep-19,4-Oct-19
Ben Mee,Defender,16,1.0,26.0,58%,0.0,4.0,13.0,57.0,34.0,1.0,67.0,67.0,54.0,3.0,35.0,32.0,0,605,37.81,0.0,5.0,60%,0.0,36.0,1,1,7,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2023/24,Muscle injury,26-Sep-23,20-Oct-23
Josh Dasilva,Midfielder,3,0.0,2.0,50%,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,8.0,2.0,0.0,0.0,0,13,4.33,0.0,6.0,17%,0.0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2023/24,Ankle injury,6-Dec-23,30-Mar-24
Matthew Lowton,Defender,17,6.0,41.0,54%,0.0,0.0,27.0,52.0,30.0,0.0,72.0,82.0,47.0,9.0,22.0,14.0,1,551,32.41,2.0,45.0,20%,2.0,41.0,2,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2019/20,ankle and knee injury,28-Jun-20,25-Oct-20
Kieran Tierney,Defender,15,1.0,20.0,80%,0.0,1.0,9.0,30.0,10.0,0.0,60.0,53.0,35.0,12.0,9.0,15.0,1,441,29.4,1.0,44.0,18%,0.0,18.0,2,0,8,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2019/20,Knee injury,19-Jan-21,16-Feb-21
Kieran Tierney,Defender,22,9.0,18.0,78%,0.0,5.0,15.0,49.0,23.0,0.0,85.0,55.0,50.0,9.0,12.0,23.0,3,904,41.09,0.0,79.0,20%,0.0,44.0,0,0,5,1,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2021/22,Ankle problems,21-Oct-21,6-Nov-21
Christian Eriksen,Midfielder,11,0.0,13.0,46%,0.0,7.0,9.0,12.0,10.0,0.0,69.0,29.0,37.0,8.0,5.0,6.0,4,544,49.45,0.0,86.0,38%,4.0,60.0,1,0,5,1,0.0,0.0,1.0,0.0,0.09,0.0,22.0,9.0,41%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2021/22,Fitness,31-Jan-22,25-Feb-22
Anwar El Ghazi,Midfielder,34,0.0,20.0,55%,0.0,11.0,13.0,12.0,6.0,0.0,75.0,97.0,151.0,29.0,31.0,57.0,4,479,14.09,4.0,107.0,24%,1.0,15.0,3,0,20,4,0.0,4.0,0.0,2.0,0.12,1.0,52.0,20.0,38%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2019/20,Knee injury,2-Dec-19,7-Dec-19
Gabriel Jesus,Forward,26,0.0,33.0,0,0.0,20.0,11.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,674,25.92,0.0,11.0,0,0.0,0.0,6,0,43,11,4.0,4.0,3.0,2.0,0.42,1.0,77.0,32.0,42%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2022/23,Knee injury,2-Dec-22,11-Mar-23
Kortney Hause,Defender,7,0.0,4.0,50%,0.0,0.0,8.0,53.0,28.0,0.0,33.0,46.0,25.0,0.0,39.0,17.0,0,232,33.14,0.0,0.0,0%,0.0,16.0,2,0,5,1,1.0,0.0,0.0,1.0,0.14,0.0,5.0,1.0,20%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2020/21,Ankle injury,3-Jan-21,5-Apr-21
Eric Dier,Midfielder,19,0.0,21.0,57%,0.0,0.0,21.0,61.0,37.0,0.0,59.0,95.0,75.0,4.0,66.0,42.0,2,914,48.11,0.0,3.0,0%,3.0,47.0,5,0,19,0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,13%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2019/20,Hip injury,"Aug 30,2019","Sep 12,2019"
Phil Bardsley,Defender,21,9.0,49.0,73%,0.0,4.0,30.0,66.0,36.0,1.0,80.0,102.0,77.0,4.0,38.0,26.0,1,658,31.33,3.0,33.0,18%,3.0,49.0,6,0,35,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2019/20,knock,5-Dec-19,13-Dec-19
Gabriel Magalhães,Defender,23,6.0,25.0,60%,1.0,5.0,26.0,73.0,42.0,1.0,118.0,113.0,76.0,5.0,57.0,41.0,0,"1,550",67.39,0.0,2.0,50%,1.0,51.0,2,1,23,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2020/21,Coronavirus,26-Dec-20,13-Jan-21
Lewis Miley,Midfielder,17,0.0,33.0,64%,0.0,7.0,8.0,16.0,5.0,0.0,78.0,58.0,52.0,8.0,11.0,12.0,3,524,30.82,0.0,11.0,18%,4.0,18.0,1,0,5,1,0.0,1.0,0.0,0.0,0.06,0.0,13.0,3.0,23%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2023/24,ack injury,25-Mar-24,20-May-24
Kieran Tierney,Defender,15,1.0,20.0,80%,0.0,1.0,9.0,30.0,10.0,0.0,60.0,53.0,35.0,12.0,9.0,15.0,1,441,29.4,1.0,44.0,18%,0.0,18.0,2,0,8,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2019/20,Shoulder injury,9-Dec-19,14-Mar-20
Tom Heaton,Goalkeeper,20,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,527,26.35,0.0,0.0,0,0.0,118.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,68.0,0.0,6.0,10.0,7.0,7.0,99.0,195.0,34.0,2019/20,Cruciate ligament injury,1-Jan-20,7-Nov-20
Edinson Cavani,Forward,26,0.0,12.0,0,0.0,7.0,6.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,336,12.92,0.0,4.0,0,0.0,0.0,4,0,21,10,6.0,3.0,1.0,0.0,0.38,0.0,34.0,15.0,44%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2020/21,Knock,6-Dec-20,18-Dec-20
Thomas Partey,Midfielder,14,0.0,14.0,79%,0.0,3.0,11.0,8.0,2.0,0.0,56.0,36.0,33.0,9.0,7.0,8.0,0,621,44.36,0.0,2.0,100%,3.0,25.0,3,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2023/24,Hamstring injury,9-Nov-23,29-Feb-24
Theo Walcott,Forward,25,0.0,13.0,0,0.0,12.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,354,14.16,7.0,42.0,0,0.0,0.0,1,0,9,2,1.0,1.0,0.0,1.0,0.08,0.0,31.0,10.0,32%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2019/20,head injury,9-Sep-19,18-Oct-19
Cenk Tosun,Forward,10,0.0,4.0,0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,98,9.8,1.0,4.0,0,0.0,0.0,0,0,8,2,2.0,0.0,0.0,0.0,0.2,0.0,15.0,5.0,33%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2019/20,cruciate ligament surgery,2-Mar-20,26-Oct-20
Paul Dummett,Defender,3,0.0,7.0,43%,0.0,0.0,3.0,5.0,4.0,0.0,5.0,15.0,8.0,0.0,5.0,2.0,0,52,17.33,0.0,3.0,0%,0.0,1.0,2,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2021/22,Calf injury,28-Jul-21,1-Jan-22
Matt Doherty,Defender,17,3.0,29.0,52%,0.0,2.0,23.0,36.0,26.0,0.0,57.0,95.0,84.0,5.0,49.0,25.0,2,676,39.76,0.0,31.0,26%,0.0,21.0,2,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2020/21,Unknown injury,"Jan 16,2021","Jan 26,2021"
Shkodran Mustafi,Defender,3,0.0,1.0,100%,0.0,0.0,0.0,3.0,3.0,0.0,3.0,4.0,1.0,0.0,3.0,0.0,0,49,16.33,0.0,0.0,0%,0.0,2.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2020/21,Muscle injury,19-Jul-20,24-Oct-20
Juan Mata,Midfielder,9,0.0,1.0,0%,0.0,1.0,3.0,3.0,1.0,0.0,25.0,8.0,17.0,2.0,1.0,2.0,2,286,31.78,0.0,13.0,31%,2.0,6.0,0,0,1,1,0.0,0.0,1.0,0.0,0.11,1.0,5.0,4.0,80%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2020/21,Muscle injury,25-Feb-21,3-Apr-21
Pierre-Emerick Aubameyang,Forward,29,0.0,12.0,0,0.0,13.0,7.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,624,21.52,0.0,38.0,0,0.0,0.0,2,0,13,10,1.0,8.0,1.0,2.0,0.34,2.0,57.0,22.0,39%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2020/21,malaria,8-Apr-21,26-Apr-21
Jamaal Lascelles,Defender,19,2.0,14.0,50%,1.0,4.0,12.0,84.0,43.0,2.0,65.0,73.0,44.0,4.0,47.0,24.0,0,621,32.68,0.0,3.0,0%,0.0,42.0,4,0,17,2,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2020/21,Foot injury,4-Apr-21,1-Jun-21
Anthony Martial,Forward,21,0.0,5.0,0,0.0,6.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,320,15.24,0.0,4.0,0,0.0,0.0,0,0,8,6,1.0,4.0,1.0,0.0,0.29,1.0,27.0,13.0,48%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2022/23,Hip injury,2-Feb-23,8-Mar-23
Marcus Rashford,Forward,35,0.0,20.0,0,0.0,27.0,7.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,779,22.26,0.0,24.0,0,0.0,0.0,2,0,15,17,3.0,11.0,3.0,2.0,0.49,0.0,108.0,50.0,46%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2022/23,Muscle injury,8-Apr-23,19-Apr-23
Oleksandr Zinchenko,Defender,27,2.0,40.0,45%,0.0,8.0,22.0,31.0,24.0,0.0,163.0,117.0,69.0,15.0,51.0,20.0,2,"1,716",63.56,0.0,37.0,19%,6.0,62.0,3,0,6,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2022/23,Calf muscle tear,7-May-23,18-Aug-23
Jacob Ramsey,Midfielder,16,0.0,16.0,50%,0.0,4.0,3.0,7.0,2.0,0.0,42.0,41.0,52.0,8.0,5.0,3.0,1,310,19.38,0.0,11.0,18%,3.0,0.0,2,0,7,1,0.0,1.0,0.0,0.0,0.06,0.0,19.0,5.0,26%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2023/24,Metatarsal fracture,2-Jul-23,20-Sep-23
Richarlison,Forward,27,0.0,21.0,0,0.0,5.0,5.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,263,9.74,0.0,16.0,0,0.0,0.0,3,0,14,1,1.0,0.0,0.0,2.0,0.04,0.0,27.0,14.0,52%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2022/23,Hamstring injury,"Dec 9,2022","Jan 13,2023"
Joelinton,Forward,20,0.0,39.0,0,0.0,4.0,19.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,616,30.8,0.0,2.0,0,0.0,0.0,6,0,28,2,0.0,2.0,0.0,1.0,0.1,0.0,19.0,9.0,47%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2023/24,Hamstring injury,13-Sep-23,15-Oct-23
André Gomes,Midfielder,28,0.0,35.0,66%,0.0,5.0,10.0,10.0,6.0,0.0,126.0,99.0,137.0,31.0,20.0,14.0,1,876,31.29,0.0,23.0,17%,2.0,57.0,3,0,35,0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,21%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2020/21,bruise,27-Sep-20,16-Oct-20
Lucas Moura,Forward,15,0.0,8.0,0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75,5.0,0.0,9.0,0,0.0,0.0,0,1,3,1,0.0,1.0,0.0,0.0,0.07,0.0,4.0,1.0,25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2022/23,Calf injury,"Aug 29,2022","Oct 10,2022"
Yerry Mina,Defender,29,4.0,39.0,56%,0.0,6.0,28.0,98.0,58.0,0.0,131.0,170.0,97.0,6.0,114.0,70.0,1,"1,361",46.93,2.0,4.0,0%,1.0,108.0,3,0,20,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2019/20,muscle injury,2-Jun-20,30-Jun-20
Bukayo Saka,Forward,35,0.0,66.0,0,0.0,44.0,15.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,"1,310",37.43,0.0,181.0,0,0.0,0.0,4,0,41,16,1.0,4.0,11.0,3.0,0.46,6.0,108.0,37.0,34%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2023/24,unknown injury,21-Mar-24,6-Apr-24
David Luiz,Defender,20,3.0,12.0,75%,1.0,5.0,16.0,49.0,29.0,0.0,64.0,55.0,31.0,3.0,35.0,14.0,0,998,49.9,0.0,9.0,0%,3.0,71.0,1,1,15,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2020/21,Head injury,25-Dec-20,1-Jan-21
Harry Kane,Forward,35,0.0,22.0,0,0.0,28.0,11.0,39.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,908,25.94,0.0,38.0,0,0.0,0.0,1,0,26,23,4.0,16.0,3.0,9.0,0.66,4.0,137.0,53.0,39%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2020/21,Ankle sprain,"Jan 29,2021","Feb 5,2021"
Gabriel Martinelli,Forward,35,0.0,30.0,80%,0.0,19.0,5.0,7.0,2.0,0.0,95.0,109.0,169.0,40.0,17.0,26.0,4,807,23.06,0.0,109.0,26%,3.0,24.0,1,0,23,6,0.0,5.0,1.0,1.0,0.17,0.0,58.0,22.0,38%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2023/24,Hamstring injury,17-Sep-23,7-Oct-23
Amadou Onana,Midfielder,33,0.0,72.0,60%,0.0,6.0,37.0,37.0,17.0,0.0,150.0,199.0,150.0,18.0,60.0,55.0,2,970,29.39,0.0,5.0,0%,5.0,41.0,9,0,44,1,1.0,0.0,0.0,0.0,0.03,0.0,34.0,6.0,18%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2022/23,leg injury,14-Apr-23,24-Apr-23
Matej Vydra,Forward,28,0.0,9.0,0,0.0,8.0,6.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,236,8.43,0.0,3.0,0,0.0,0.0,0,0,6,3,0.0,1.0,2.0,0.0,0.11,0.0,35.0,10.0,29%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2020/21,back injury,18-Dec-20,11-Jan-20
Jamaal Lascelles,Defender,19,2.0,14.0,50%,1.0,4.0,12.0,84.0,43.0,2.0,65.0,73.0,44.0,4.0,47.0,24.0,0,621,32.68,0.0,3.0,0%,0.0,42.0,4,0,17,2,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2020/21,Hamstring strain,31-Jan-21,14-Feb-21
Marcus Rashford,Forward,31,0.0,13.0,0,0.0,18.0,10.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,941,30.35,9.0,33.0,0,0.0,0.0,3,0,21,17,1.0,13.0,3.0,6.0,0.55,6.0,95.0,44.0,46%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2019/20,Back injury,16-Jan-20,5-Jun-20
Kieran Tierney,Defender,15,1.0,20.0,80%,0.0,1.0,9.0,30.0,10.0,0.0,60.0,53.0,35.0,12.0,9.0,15.0,1,441,29.4,1.0,44.0,18%,0.0,18.0,2,0,8,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2019/20,Groin injury,13-Sep-20,27-Sep-20
Gabriel Jesus,Forward,27,0.0,24.0,0,0.0,16.0,13.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,490,18.15,0.0,9.0,0,0.0,0.0,6,0,26,4,2.0,1.0,1.0,2.0,0.15,0.0,55.0,19.0,35%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2023/24,Knee injury,5-Jan-24,18-Jan-24
Eric Bailly,Defender,12,3.0,5.0,100%,0.0,1.0,13.0,36.0,22.0,0.0,73.0,37.0,27.0,4.0,24.0,17.0,0,562,46.83,0.0,0.0,0%,0.0,20.0,3,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2020/21,Muscle injury,18-Oct-20,1-Dec-20
Luke Shaw,Defender,24,7.0,34.0,53%,0.0,4.0,24.0,51.0,30.0,0.0,92.0,96.0,72.0,22.0,30.0,23.0,0,"1,143",47.63,1.0,38.0,24%,1.0,13.0,7,0,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2019/20,Hamstring injury,24-Aug-19,7-Oct-19
